Zip,City,State,Latitude,Longitude,relevantFacilities
24944,Green Bank,WV,38.412244,-79.79796,"[233990, 234688, 234557, 233443, 233678, 232161, 232007, 232424, 232009, 233604, 234132, 233443]"
1586,West Millbury,MA,42.364807,-71.89686800000001,[]
19089,Wayne,PA,40.043399,-75.35730799999999,[]
95137,San Jose,CA,37.189396,-121.705327,"[234015, 231958, 273757, 233683, 272229, 233404]"
78042,Laredo,TX,27.565464000000002,-99.476792,[]
81153,San Pablo,CO,37.127132,-105.3675,"[231849, 273360, 251436, 233388, 231851, 233327, 234685, 234700, 234660]"
64672,Powersville,MO,40.542119,-93.25234,"[233522, 233413, 233516]"
65026,Eldon,MO,38.311355,-92.58395,"[233453, 233542, 233575]"
67445,Glasco,KS,39.367111,-97.82634,"[233659, 233554, 234647]"
68133,Papillion,NE,41.144085,-96.00546999999999,[]
68949,Holdrege,NE,40.434478999999996,-99.37311,[233517]
69001,McCook,NE,40.225039,-100.63051999999999,[]
89008,Caliente,NV,37.488849,-114.45374,[234713]
90401,Santa Monica,CA,34.01491,-118.4922,"[234555, 232498, 233735, 233381, 232138]"
78219,San Antonio,TX,29.448379,-98.39908,[234181]
78475,Corpus Christi,TX,27.776999999999997,-97.463213,[]
79311,Abernathy,TX,33.857895,-101.88156,[]
71953,Mena,AR,34.588479,-94.21566999999999,"[233540, 234767, 232736, 233584, 233531, 232672, 233653, 233469, 233834, 232522, 232543, 232611, 233434, 232558, 251355, 251361, 233457, 232710, 233424, 232517]"
73666,Sweetwater,OK,35.458562,-99.87143,[]
74108,Tulsa,OK,36.146896999999996,-95.79958,"[233636, 233647, 233457, 233667, 233506, 233666, 233667, 233645, 233508, 233424]"
3825,Barrington,NH,43.208135999999996,-71.04356,[]
3853,Mirror Lake,NH,43.642398,-71.28614,[]
6334,Bozrah,CT,41.543559,-72.17684,[]
915,San Juan,PR,18.436995,-66.04888000000001,[]
1104,Springfield,MA,42.130342999999996,-72.57338,[]
2179,Waverley,MA,42.446396,-71.459405,[]
65556,Richland,MO,37.828549,-92.40512,"[233575, 233135, 233542, 234357, 234442]"
66222,Shawnee Mission,KS,38.899901,-94.831991,"[250850, 233418, 233695, 233552, 233602, 233631, 233657, 233700]"
59528,Hingham,MT,48.555089,-110.41769,[]
59854,Ovando,MT,47.044698,-113.09213999999999,"[234291, 234480, 253918, 253491, 233240, 234418, 234009]"
