facilityid,attriblist
352.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Grade_Slight', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Electricity Hookup_30 amp', 'Water Hookup_No', 'Min Num of Vehicles_0']"
161.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_small', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Capacity/Size Rating_Single', 'Site Size_small', 'Double Driveway_Y', 'Min Num of Vehicles_0']"
1067.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Grade_Slight', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Min Num of Vehicles_0']"
2835.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Pull-Through', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Shade_Full', 'Placed on Map_0', 'Equipment Mandatory_0', 'Site Access_Drive-In', 'Condition Rating_Good', 'Min Num of People_single', 'Capacity/Size Rating_Single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Min Num of Vehicles_1.0', 'Paved Parking_Y', 'Location Rating_Good', 'Showers_Y', 'Concessions Gifts_Y', 'Emergency Phone_Y', 'Entrance Station_Y', 'Paved Roads_Y', 'Ice_Y', 'Toilets_Y', 'Trailheads_Y', 'Amphitheater_Y', 'Firewood Vender_Y', 'Laundry Facilities_Y', 'Kennel_Y', 'Wireless Internet_Y', 'Visitor Center_Y']"
373.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Pull-Through', 'Driveway Grade_Slight', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Proximity to Water_Riverfront', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Electricity Hookup_50 amp', 'Water Hookup_No', 'Min Num of Vehicles_0']"
476.0,"['Checkin Time_early', 'Checkout Time_early', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Min Num of Vehicles_0']"
2609.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Surface_Gravel', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Tent Pad Size_small', 'Min Num of People_single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Tent Pad_Y', 'Min Num of Vehicles_0']"
454.0,"['Placed on Map_0', 'Equipment Mandatory_0', 'Min Num of Vehicles_0']"
449.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Grade_Slight', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Accessibility_Y', 'Electricity Hookup_30 amp', 'Water Hookup_No', 'Min Num of Vehicles_0']"
530.0,"['Campfire Allowed_No', 'Checkin Time_early', 'Checkout Time_early', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_small', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Hike In Distance to Site_large', 'Site Access_Hike-In', 'Water Hookup_No', 'Min Num of Vehicles_0']"
2803.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Shade_Full', 'Placed on Map_0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Condition Rating_Good', 'Min Num of People_single', 'Capacity/Size Rating_Single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Min Num of Vehicles_1.0', 'Drinking Water_Y', 'Paved Parking_Y', 'Location Rating_Good', 'Showers_Y', 'Concessions Gifts_Y', 'Emergency Phone_Y', 'Entrance Station_Y', 'Paved Roads_Y', 'Ice_Y', 'Toilets_Y', 'Trailheads_Y', 'Amphitheater_Y', 'Firewood Vender_Y', 'Laundry Facilities_Y', 'Kennel_Y', 'Wireless Internet_Y', 'Visitor Center_Y']"
